source,target,type,vlookup source,vlookup target
97,141,solid,Dominique Sopo,SOS Racisme
97,135,solid,Dominique Sopo,Ministère de l'Éducation nationale
98,135,solid,Benjamin Stora,Ministère de l'Éducation nationale
98,144,dotted,Benjamin Stora,UNEF
99,114,solid,Dominique Strauss-Kahn,CRIF
99,139,solid,Dominique Strauss-Kahn,Parti socialiste
100,139,solid,Christiane Taubira,Parti socialiste
101,113,solid,Louis-Georges Tin,CRAN
102,139,solid,Marisol Touraine,Parti socialiste
103,139,dotted,Philippe Val,Parti socialiste
103,140,dotted,Philippe Val,Radio France
104,139,solid,Najat Vallaud-Belkacem,Parti socialiste
105,131,dotted,Manuel Valls,Ligue des droits de l'Homme
105,133,dotted,Manuel Valls,LMDE
105,139,solid,Manuel Valls,Parti socialiste
105,144,dotted,Manuel Valls,UNEF
18,117,solid,José Bové,Europe Écologie Les Verts
147,139,dotted,Christophe Castaner,Parti socialiste
147,115,solid,Christophe Castaner,La République en marche !
148,115,solid,Marlène Schiappa,La République en marche !
149,115,solid,Jean-Paul Delevoye,La République en marche !
30,144,dotted,Caroline De Haas,UNEF
30,139,dotted,Caroline De Haas,Parti socialiste
73,117,solid,Noël Mamère,Europe Écologie Les Verts
26,144,dotted,Patrick Cohen,UNEF
61,150,solid,Jean-François Kahn,Marianne
46,151,solid,Nicolas Gougain,Inter-LGBT
74,140,dotted,Daniel Mermet,Radio France
76,152,solid,Alain Minc,French-American Foundation
72,152,solid,Emmanuel Macron,French-American Foundation
54,152,solid,François Hollande,French-American Foundation
58,152,solid,Laurent Joffrin,French-American Foundation
68,152,solid,Anne Lauvergeon,French-American Foundation
80,152,solid,Arnaud Montebourg,French-American Foundation
82,152,solid,Pierre Moscovici,French-American Foundation
156,152,solid,Édouard Philippe,French-American Foundation
85,152,solid,Matthieu Pigasse,French-American Foundation
102,152,solid,Marisol Touraine,French-American Foundation
104,152,solid,Najat Vallaud-Belkacem,French-American Foundation
156,115,solid,Édouard Philippe,La République en marche !
9,122,dotted,Christophe Barbier,L'Express
103,110,dotted,Philippe Val,Charlie Hebdo
158,119,dotted,Ismaël Emelien,Fondation Jean-Jaurès
158,139,dotted,Ismaël Emelien,Parti socialiste
158,115,solid,Ismaël Emelien,La République en marche !
32,159,solid,Jacques Delors,Institut Jacques Delors
32,139,solid,Jacques Delors,Parti socialiste
66,159,dotted,Pascal Lamy,Institut Jacques Delors
160,119,solid,Jean-Yves Camus,Fondation Jean-Jaurès
160,110,dotted,Jean-Yves Camus,Charlie Hebdo
160,128,dotted,Jean-Yves Camus,Le Monde diplomatique
161,115,solid,Bruno Le Maire,La République en marche !
162,115,solid,Marielle de Sarnez,La République en marche !
163,115,solid,Aurore Bergé,La République en marche !
165,164,solid,Jean-Pierre Jouyet,Les Gracques
166,164,solid,Denis Olivennes,Les Gracques
85,164,solid,Matthieu Pigasse,Les Gracques
27,164,solid,Daniel Cohn-Bendit,Les Gracques
